keyword,volume,keyword_difficulty,cpc,best_position,best_position_url,sum_traffic,is_informational,is_commercial,is_transactional
technology market research,200,1,500,3,https://www.driveresearch.com/market-research-company-blog/tech-market-research/,30,True,True,False
sampling error calculator,100,0,,2,https://www.driveresearch.com/margin-of-error-calculator/,30,True,False,False
george kuhn,80,0,211,1,https://www.driveresearch.com/team/george-kuhn/,29,True,False,False
market primary research,80,4,,2,https://www.driveresearch.com/market-research-company-blog/primary-market-research-what-is-it-and-why-is-it-important/,29,True,False,False
aided vs unaided awareness,80,0,465,2,https://www.driveresearch.com/Resources,29,True,False,False
shop along,80,0,,2,https://www.driveresearch.com/market-research-company-blog/what-is-a-shop-along-market-research-syracuse/,29,True,True,False
gen z market research,200,13,377,3,https://www.driveresearch.com/market-research-company-blog/market-research-with-generation-z/,29,True,True,False
market analysis for nonprofit organizations,250,0,435,4,https://www.driveresearch.com/market-research-company-blog/non-profit-market-research-guide/,29,True,True,False
marketing research data collection,80,6,293,1,https://www.driveresearch.com/market-research-company-blog/market-research-data-collection/,29,True,True,False
marketing cannabis,250,39,,1,https://www.driveresearch.com/market-research-company-blog/cannabis-marketing-strategies/,28,True,True,False
market survey company,80,46,1201,2,https://www.driveresearch.com/,28,True,True,False
what is desk research,250,0,,4,https://www.driveresearch.com/market-research-company-blog/desk-research-what-it-is-and-how-you-can-use-it/,28,True,False,False
employee safety survey,80,0,458,1,https://www.driveresearch.com/market-research-company-blog/employee-safety-surveys/,28,True,False,False
online market research firms,150,48,1185,2,https://www.driveresearch.com/,28,True,True,False
white hat link building techniques,300,14,131,5,https://www.driveresearch.com/market-research-company-blog/get-more-white-hat-backlinks/,28,True,False,False
competitor analytics,700,35,1094,2,https://www.driveresearch.com/market-research-company-blog/the-ultimate-guide-to-conducting-a-competitor-analysis-competitive-analysis-company/,28,True,True,False
banking customer journey map,1200,0,839,11,https://www.driveresearch.com/market-research-company-blog/bank-customer-journey-map/,28,True,True,False
banking seo,450,5,700,7,https://www.driveresearch.com/market-research-company-blog/seo-for-banking-industry/,27,True,True,False
turf analysis,500,3,251,9,https://www.driveresearch.com/market-research-company-blog/what-is-turf-analysis-media-and-product-research/,27,True,False,False
